일자,확진자
2020-01-20,-
2020-01-21,-
2020-01-22,-
2020-01-23,-
2020-01-24,-
2020-01-25,-
2020-01-26,-
2020-01-27,-
2020-01-28,-
2020-01-29,-
2020-01-30,1 
2020-01-31,3 
2020-02-01,-
2020-02-02,1 
2020-02-03,-
2020-02-04,-
2020-02-05,3 
2020-02-06,1 
2020-02-07,-
2020-02-08,-
2020-02-09,1 
2020-02-10,1 
2020-02-11,-
2020-02-12,-
2020-02-13,-
2020-02-14,-
2020-02-15,-
2020-02-16,2 
2020-02-17,-
2020-02-18,2 
2020-02-19,34 
2020-02-20,16 
2020-02-21,74 
2020-02-22,190 
2020-02-23,209 
2020-02-24,206 
2020-02-25,129 
2020-02-26,252 
2020-02-27,447 
2020-02-28,427 
2020-02-29,909 
2020-03-01,593 
2020-03-02,684 
2020-03-03,599 
2020-03-04,516 
2020-03-05,437 
2020-03-06,518 
2020-03-07,483 
2020-03-08,366 
2020-03-09,247 
2020-03-10,131 
2020-03-11,239 
2020-03-12,112 
2020-03-13,107 
2020-03-14,102 
2020-03-15,72 
2020-03-16,70 
2020-03-17,79 
2020-03-18,80 
2020-03-19,135 
2020-03-20,73 
2020-03-21,126 
2020-03-22,77 
2020-03-23,46 
2020-03-24,46 
2020-03-25,42 
2020-03-26,56 
2020-03-27,57 
2020-03-28,90 
2020-03-29,38 
2020-03-30,35 
2020-03-31,88 
2020-04-01,56 
2020-04-02,43 
2020-04-03,37 
2020-04-04,53 
2020-04-05,31 
2020-04-06,25 
2020-04-07,23 
2020-04-08,23 
2020-04-09,13 
2020-04-10,17 
2020-04-11,16 
2020-04-12,9 
2020-04-13,10 
2020-04-14,11 
2020-04-15,13 
2020-04-16,11 
2020-04-17,7 
2020-04-18,9 
2020-04-19,2 
2020-04-20,6 
2020-04-21,4 
2020-04-22,5 
2020-04-23,4 
2020-04-24,4 
2020-04-25,5 
2020-04-26,1 
2020-04-27,3 
2020-04-28,2 
2020-04-29,4 
2020-04-30,-
2020-05-01,1 
2020-05-02,-
2020-05-03,3 
2020-05-04,-
2020-05-05,-
2020-05-06,-
2020-05-07,1 
2020-05-08,1 
2020-05-09,17 
2020-05-10,26 
2020-05-11,29 
2020-05-12,22 
2020-05-13,22 
2020-05-14,26 
2020-05-15,22 
2020-05-16,9 
2020-05-17,6 
2020-05-18,5 
2020-05-19,9 
2020-05-20,24 
2020-05-21,10 
2020-05-22,11 
2020-05-23,19 
2020-05-24,17 
2020-05-25,13 
2020-05-26,16 
2020-05-27,37 
2020-05-28,68 
2020-05-29,55 
2020-05-30,27 
2020-05-31,15 
2020-06-01,30 
2020-06-02,36 
2020-06-03,46 
2020-06-04,33 
2020-06-05,34 
2020-06-06,43 
2020-06-07,53 
2020-06-08,32 
2020-06-09,35 
2020-06-10,43 
2020-06-11,40 
2020-06-12,43 
2020-06-13,43 
2020-06-14,31 
2020-06-15,24 
2020-06-16,21 
2020-06-17,31 
2020-06-18,51 
2020-06-19,32 
2020-06-20,36 
2020-06-21,40 
2020-06-22,11 
2020-06-23,16 
2020-06-24,30 
2020-06-25,23 
2020-06-26,26 
2020-06-27,31 
2020-06-28,40 
2020-06-29,30 
2020-06-30,22 
2020-07-01,36 
2020-07-02,44 
2020-07-03,49 
2020-07-04,36 
2020-07-05,43 
2020-07-06,24 
2020-07-07,20 
2020-07-08,30 
2020-07-09,28 
2020-07-10,23 
2020-07-11,20 
2020-07-12,21 
2020-07-13,19 
2020-07-14,14 
2020-07-15,11 
2020-07-16,14 
2020-07-17,21 
2020-07-18,11 
2020-07-19,21 
2020-07-20,4 
2020-07-21,20 
2020-07-22,29 
2020-07-23,39 
2020-07-24,28 
2020-07-25,27 
2020-07-26,12 
2020-07-27,9 
2020-07-28,5 
2020-07-29,14 
2020-07-30,7 
2020-07-31,14 
2020-08-01,8 
2020-08-02,8 
2020-08-03,3 
2020-08-04,13 
2020-08-05,13 
2020-08-06,23 
2020-08-07,9 
2020-08-08,30 
2020-08-09,30 
2020-08-10,17 
2020-08-11,23 
2020-08-12,35 
2020-08-13,47 
2020-08-14,85 
2020-08-15,154 
2020-08-16,267 
2020-08-17,188 
2020-08-18,235 
2020-08-19,283 
2020-08-20,276 
2020-08-21,315 
2020-08-22,315 
2020-08-23,386 
2020-08-24,258 
2020-08-25,264 
